id,username,gender,age,province,city,education,height,weight,race,least_age,most_age,least_height,most_height,aim_race,aim_education,aim_marriage,aim_home
10022958,marksun,M,39,海南,三亚,本科,174,74,汉,20,26,158,165,不限,不限,未婚,不限
10022958,marksun,M,39,海南,三亚,本科,174,74,汉,20,26,158,165,不限,不限,未婚,不限
10040952,真诚,M,34,陕西,宝鸡,大专,170,62,汉,20,25,158,164,不限,高中中专及以下或以上,未婚,不限
10040952,真诚,M,34,陕西,宝鸡,大专,170,62,汉,20,25,158,164,不限,高中中专及以下或以上,未婚,不限
10040952,真诚,M,34,陕西,宝鸡,大专,170,62,汉,20,25,158,164,不限,高中中专及以下或以上,未婚,不限
10075567,瞬,M,33,广西,玉林,大专,178,70,汉,18,25,157,170,不限,高中中专及以下或以上,未婚,不限
10098326,yuxue,F,34,广东,广州,硕士,157,48,--,20,40,168,190,不限,本科或以上,不限,不限
10098326,yuxue,F,34,广东,广州,硕士,157,48,--,20,40,168,190,不限,本科或以上,不限,不限
10098326,yuxue,F,34,广东,广州,硕士,157,48,--,20,40,168,190,不限,本科或以上,不限,不限
10118408,Lisalisali,F,35,其他国家,加拿大,硕士,169,50,汉,20,50,160,190,不限,不限,不限,不限
10265409,牛牛娃,M,33,甘肃,平凉,本科,175,0,--,20,50,150,180,不限,不限,不限,不限
10274081,寻找远方他,M,54,甘肃,嘉峪关,大专,180,0,--,20,50,150,180,不限,不限,不限,不限
10280776,当时已惘然,F,30,辽宁,锦州,大专,166,50,满,20,50,160,190,不限,不限,不限,不限
10280776,当时已惘然,F,30,辽宁,锦州,大专,166,50,满,20,50,160,190,不限,不限,不限,不限
10296475,尘飞扬,M,32,江苏,连云港,大专,172,70,汉,20,50,150,180,不限,不限,不限,不限
10296475,尘飞扬,M,32,江苏,连云港,大专,172,70,汉,20,50,150,180,不限,不限,不限,不限
10315896,与寂寞过夜,M,28,湖南,永州,大专,173,58,汉,20,50,150,180,不限,不限,不限,不限
10317453,liukui,M,36,上海,浦东新区,大专,170,0,--,20,50,150,180,不限,不限,不限,不限
10317453,liukui,M,36,上海,浦东新区,大专,170,0,--,20,50,150,180,不限,不限,不限,不限
10317453,liukui,M,36,上海,浦东新区,大专,170,0,--,20,50,150,180,不限,不限,不限,不限
10339611,jia xin,F,34,其他国家,马来西亚,高中中专及以下,164,63,汉,27,35,160,180,不限,不限,未婚,不限
10339611,jia xin,F,34,其他国家,马来西亚,高中中专及以下,164,63,汉,27,35,160,180,不限,不限,未婚,不限
10359445,benhai,M,33,北京,密云,本科,172,0,--,20,50,150,180,不限,不限,不限,不限
10359445,benhai,M,33,北京,密云,本科,172,0,--,20,50,150,180,不限,不限,不限,不限
10371228,遗忘的角落,M,36,广东,珠海,大专,163,0,--,20,50,150,180,不限,不限,不限,不限
10371228,遗忘的角落,M,36,广东,珠海,大专,163,0,--,20,50,150,180,不限,不限,不限,不限
10371228,遗忘的角落,M,36,广东,珠海,大专,163,0,--,20,50,150,180,不限,不限,不限,不限
10378319,小牛,M,31,浙江,温州,大专,172,0,--,20,50,150,180,不限,不限,不限,不限
10426846,vavc,M,45,广东,深圳,本科,177,68,汉,26,35,165,175,不限,不限,不限,不限
10475728,恬静,F,34,浙江,宁波,本科,160,51,汉,26,28,170,175,不限,不限,未婚,星级会员 
10484215,高山流水,F,32,陕西,渭南,高中中专及以下,153,46,汉,20,50,160,190,不限,不限,不限,不限
10499264,~波波~,F,28,天津,红桥,大专,162,0,汉,20,50,160,190,不限,不限,不限,不限
